country,year,CE,average_gvc,average_gvcs,average_gvcc,average_f,average_b
IRL,2000,32873.851,0.6339453360415609,0.3383409749579449,0.29560436108361593,0.32490710801680717,0.30903822802475367
IRL,2001,34726.357,0.6509624893500157,0.3505919513360079,0.30037053801400787,0.3394818275959372,0.31148066175407857
IRL,2002,33061.314,0.6522166921492609,0.3608713672928347,0.2913453248564261,0.3482414949974392,0.3039751971518217
IRL,2003,32523.603,0.623924617272156,0.35451616456228796,0.269408452709868,0.3310372658699792,0.29288735140217675
IRL,2004,32648.810999999998,0.618923253054769,0.3332573644054425,0.28566588864932646,0.3191041993114797,0.29981905374328927
IRL,2005,34152.703,0.6232413118487049,0.3352988872371716,0.28794242461153324,0.32023193375418585,0.30300937809451906
IRL,2006,33412.86,0.639950109696651,0.34806217269278505,0.29188793700386584,0.32280065666052626,0.31714945303612463
IRL,2007,33362.095,0.677805821042209,0.36425440675616017,0.31355141428604866,0.351804763132688,0.32600105790952105
IRL,2008,32621.985,0.6883712565761118,0.36442081138821064,0.32395044518790095,0.3390279471279993,0.3493433094481125
IRL,2009,27834.011000000002,0.7307190132950798,0.4430959415670635,0.28762307172801627,0.378491035629662,0.35222797766541797
IRL,2010,35032.905,0.77859024750892,0.4013958665734155,0.37719438093550445,0.4267525152671008,0.3518377322418192
IRL,2011,32792.76,0.7572209169477069,0.6503195294146888,0.10690138753301874,0.42370672643274737,0.33351419051495956
IRL,2012,34023.936,0.7809458758059955,0.4740377878695441,0.30690808793645147,0.4332033225067475,0.3477425532992481
IRL,2013,31511.416,0.7847588298018574,0.4268885124963119,0.3578703173055456,0.44239608193874647,0.34236274786311094
IRL,2014,32408.371,0.7718207628861898,0.47373084115338904,0.2980899217328007,0.4175683387937828,0.354252424092407
ITA,2000,356536.49,0.2939132523839911,0.182092626347633,0.11182062603635796,0.14759648431684613,0.14631676806714494
ITA,2001,360435.352,0.2947950598139703,0.18233502914308355,0.11246003067088675,0.15076783866426974,0.1440272211497006
ITA,2002,365138.40400000004,0.28425768953513186,0.17556332112435533,0.10869436841077654,0.14502345293281782,0.13923423660231413
ITA,2003,378572.642,0.2802198139174571,0.17230547083119158,0.10791434308626542,0.1442012839340458,0.13601852998341127
ITA,2004,382280.109,0.2931114473719289,0.1772090128784592,0.11590243449346965,0.15260293090051238,0.14050851647141652
ITA,2005,382614.723,0.3065415696867848,0.18402699900137853,0.12251457068540625,0.15619422463428623,0.15034734505249858
ITA,2006,385596.304,0.3244002682345912,0.19107679778172168,0.13332347045286946,0.16298627502810326,0.161413993206488
