country,classification,year,CE,f,b,gvcs,gvcc
TUR,Other,2007,0.0,0.13063817336579714,0.17396816592914824,0.17501459840429923,0.12959174089064637
TUR,Other,2008,0.0,0.1451385253128728,0.17757471881589312,0.1888580719786042,0.13385517215016157
TUR,Other,2009,0.0,0.15270292810671635,0.15463979089988938,0.18160439572785453,0.1257383232787514
TUR,Other,2010,0.0,0.13703886321203784,0.1682865741868863,0.18031318454528952,0.1250122528536346
TUR,Other,2011,0.0,0.1494194479491581,0.189602165047508,0.18697149136714755,0.15205012162951886
TUR,Other,2012,0.0,0.1636860836033848,0.18118716664594897,0.18999509860714142,0.15487815164219237
TUR,Other,2013,0.0,0.15722353256061491,0.1898498371672942,0.18664447630599537,0.16042889342191388
TUR,Other,2014,0.0,0.16792579453237844,0.18813378553697035,0.18751261025473462,0.1685469698146141
TUR,Service,2000,97914.266,0.07814272083246206,0.0798641866124015,0.10459427906202189,0.053412628382841554
TUR,Service,2001,96412.346,0.10322118022751596,0.07138369014675411,0.1142517197826587,0.06035315059161128
TUR,Service,2002,92931.76200000002,0.09602903672310463,0.07355575884420151,0.11139625947551056,0.058188536091795515
TUR,Service,2003,95904.615,0.08839978045333903,0.0748565239260344,0.10826928431022141,0.054987020069151925
TUR,Service,2004,98054.859,0.08877281070515022,0.07957575047007921,0.11051019976377931,0.05783836141145009
TUR,Service,2005,112268.689,0.08366514220953011,0.07907144770515036,0.1070314847900018,0.055705105124678626
TUR,Service,2006,121675.264,0.08372386707324501,0.08267126341291031,0.1087656382312276,0.05762949225492769
TUR,Service,2007,142173.493,0.08461172236688709,0.08166417276655265,0.10823393381464519,0.058041961318794494
TUR,Service,2008,140448.844,0.08906677443580027,0.08226709323384818,0.11217730622155893,0.05915656144808953
TUR,Service,2009,141966.677,0.09004253357101469,0.07217594444431195,0.1085352941340916,0.05368318388123497
TUR,Service,2010,134795.451,0.07876234884228527,0.0778805150843129,0.10367939722180532,0.05296346670479283
TUR,Service,2011,146434.362,0.07888416153554564,0.08045039320975267,0.09972573337369421,0.05960882137160403
TUR,Service,2012,151310.579,0.08460960334397528,0.07831623322125039,0.1025335576338619,0.06039227893136374
TUR,Service,2013,147209.896,0.07562417062089416,0.07927845588640473,0.0980337834236759,0.05686884308362293
TUR,Service,2014,158961.623,0.08016660972546055,0.07811716700706733,0.09945615279273994,0.058827623939787854
TWN,Agriculture,2000,3485.289942098146,0.1937412926042005,0.187408909516511,0.27186288783023693,0.10928731429047413
TWN,Agriculture,2001,3414.33124006913,0.10160927225070077,0.18733117757187268,0.20839901438860464,0.08054143543396892
TWN,Agriculture,2002,3176.8768255780874,0.12660137096036803,0.186336164494364,0.21663869818824918,0.09629883726648243
TWN,Agriculture,2003,3581.9649345007974,0.21955869831746955,0.20093856270097699,0.23364254740111426,0.1868547136173324
TWN,Agriculture,2004,3672.6236879489197,0.2126836794463376,0.23123308288397934,0.30226209240380947,0.14165466992650733
TWN,Agriculture,2005,3328.191606155356,0.22494179909464296,0.2361309329461537,0.3158769426996963,0.14519578934110053
TWN,Agriculture,2006,2248.553269860978,0.2108947519824013,0.23674180322183,0.3045643748904063,0.1430721803138251
TWN,Agriculture,2007,1633.7676460752239,0.25100956565148524,0.26126546682561136,0.3701821945043493,0.14209283797274655
TWN,Agriculture,2008,1909.12319298399,0.2264702643900146,0.28444120047059634,0.34580982831538565,0.16510163654522517
TWN,Agriculture,2009,1571.9698176757743,0.2873491385258982,0.22644928712658632,0.36579231187350275,0.14800611377898154
TWN,Agriculture,2010,1551.9616921931738,0.2550828350799548,0.24897462893395297,0.349834253722572,0.1542232102913354
TWN,Agriculture,2011,1559.438480951962,0.2656797160688365,0.258355244998971,0.3639780598674518,0.16005690120035557
TWN,Agriculture,2012,1692.2782143507302,0.271979622013152,0.257379961037131,0.3685576307553247,0.16080195229495833
TWN,Agriculture,2013,1662.7124146975907,0.27180423407920123,0.24190438113685533,0.3548856098988138,0.15882300531724247
TWN,Agriculture,2014,1757.3405282999333,0.26113734669112737,0.24832131715230701,0.2862458412709462,0.22321282257248806
TWN,Manufacturing,2000,80755.77921348212,0.3220223901858547,0.3829588226464895,0.39493971511038545,0.3100414977219587
TWN,Manufacturing,2001,81850.26875741848,0.3284995078210913,0.3661576250683863,0.3797541565876707,0.31490297630180697
TWN,Manufacturing,2002,83707.86007912343,0.3375284513482525,0.3656917186961907,0.38910884693707193,0.3141113231073714
TWN,Manufacturing,2003,82757.1818780418,0.3423630048059219,0.38811628436651796,0.40844151511878724,0.3220377740536528
TWN,Manufacturing,2004,85194.629152692,0.35609148195180873,0.4338972057578295,0.43716399226493385,0.35282469544470435
TWN,Manufacturing,2005,85380.42714251675,0.3633854658454138,0.44131415606134894,0.44014802310862394,0.36455159879813864
TWN,Manufacturing,2006,88244.70951267907,0.3728272119935431,0.46538078213400946,0.44526232570766244,0.39294566841989015
TWN,Manufacturing,2007,88496.73015300793,0.41105188961626987,0.47428524068102224,0.45872553898917934,0.4266115913081129
TWN,Manufacturing,2008,79965.1102323424,0.411810342969953,0.49991802565023474,0.454077932333597,0.4576504362865905
TWN,Manufacturing,2009,73428.1696126192,0.41278396949368235,0.44414545272519446,0.45550773957713847,0.4014216826417385
TWN,Manufacturing,2010,86280.2663303457,0.40703455236994757,0.48371831739407295,0.46920670913256607,0.4215461606314544
TWN,Manufacturing,2011,89067.17133735589,0.41237020187557705,0.5008125358805272,0.4676715484553119,0.44551118930079237
TWN,Manufacturing,2012,85452.24201070104,0.42336271789727276,0.491602384032989,0.4626019760306689,0.45236312589959315
TWN,Manufacturing,2013,89932.11231874194,0.41734037336277197,0.48105994070530356,0.4736657633011485,0.4247345507669272
TWN,Manufacturing,2014,90002.3978688746,0.42522585072566094,0.4802721677671856,0.4666661545738511,0.43883186391899515
TWN,Mining,2000,18695.754717789765,0.315225503513123,0.231612458722548,0.42021593904453,0.1266220231911405
TWN,Mining,2001,19749.276294410836,0.391430365379291,0.211198565146435,0.443743817063562,0.1588851134621624
TWN,Mining,2002,20520.311396776804,0.405020626740816,0.218206532289189,0.459300066826102,0.1639270922039035
TWN,Mining,2003,24122.43110354172,0.437047331460823,0.246839668378416,0.5012861259984129,0.1826008738408256
TWN,Mining,2004,26411.30111870387,0.438536899396385,0.246464648097858,0.49676445259997,0.1882370948942737
TWN,Mining,2005,26516.31975994856,0.511167856996339,0.2854133024386,0.560346653939402,0.2362345054955384
TWN,Mining,2006,27245.47836032874,0.533854477142941,0.297774269897809,0.57833004844722,0.2532986985935301
TWN,Mining,2007,28734.82336834879,0.614310735308456,0.331263438275192,0.6488409389199561,0.296733234663692
TWN,Mining,2008,26026.69593417528,0.562037702819839,0.345457492385777,0.6162794866458801,0.2912157085597353
TWN,Mining,2009,26586.827427510318,0.854827370970391,0.280121094649254,0.806340655198764,0.3286078104208811
TWN,Mining,2010,25460.89799278625,0.552932069734718,0.281894420277181,0.587365925361809,0.2474605646500898
TWN,Mining,2011,24798.24546303065,0.746557425610863,0.281409034794919,0.685534554956036,0.3424319054497457
TWN,Mining,2012,23301.90190340948,0.785015607830012,0.306801624328486,0.7448973654437311,0.3469198667147668
TWN,Mining,2013,24574.357026735743,0.793588116499043,0.30924379860584,0.744015504107561,0.3588164109973208
TWN,Mining,2014,24168.475556644164,0.745571313659644,0.301709002628632,0.711965968498773,0.335314347789503
TWN,Other,2000,0.0,0.2572770492611046,0.2556133666927418,0.2590537230274867,0.2538366929263595
TWN,Other,2001,0.0,0.2598758277613432,0.24034786475966058,0.25430201966558363,0.24592167285541983
TWN,Other,2002,0.0,0.2716670835009516,0.24160982086734598,0.2631033994112841,0.2501735049570136
TWN,Other,2003,0.0,0.2819182478311462,0.2497869667844078,0.2709553774315246,0.2607498371840288
